,PC1,PC2,PC3
z_il_t,-0.5094340742742965,-0.02428120500906067,0.4809560489463038
z_il_t_lag1,-0.5099236004782239,-0.030512009212292194,0.47997743139062155
z_price_implicit_lag1,0.5108243667150194,0.021183785778277096,0.3955822227733299
z_log_price,0.46627614876678625,0.01506462596865117,0.6178534708967065
z_delta_log_price_t_to_tplus1,-0.04582428510112707,0.9989012687156128,0.008645106374509435
