,0
z_delta_log_price_t_to_tplus1,0.6866190737876922
z_log_price,0.19394164250039025
z_price_implicit_lag1,0.16464878433584337
z_il_t_lag1,0.16137193433246294
z_il_t,0.1536194347149385
