date,z_il_t_plus1,z_tvl_t,z_il_t,z_il_t_lag1,z_price_implicit_lag1,z_log_price,z_delta_log_price_t_to_tplus1,il_t_plus1,tvl_t,il_t,il_t_lag1,price_implicit_lag1,log_price,delta_log_price_t_to_tplus1,reserve0,reserve1,price_implicit,pt_ratio
2021-06-02,0.0274760533475473,1.60303602229958,1.8838648950410883,1.8846598898298064,3.337137164024498,2.640944704313199,-0.3541482430341872,-2.8541610331722644e-05,9.69868828769936e+22,-6.675722197257983e-10,0.0,0.1418759737956186,-1.9528751062670704,-0.0150379648667682,4.84934414384968e+22,6.879551455923567e+21,0.141865605984033,0.999926923415514
2021-06-03,0.0291193608091453,1.6197496111493508,1.8834426485374636,1.8846598799398733,3.336735512583637,2.601905085688794,-0.0583831817396427,-1.5850315531307224e-05,9.7731835727065e+22,-2.854227790394237e-05,-6.675722197257983e-10,0.141865605984033,-1.9679130711338388,-0.0037344828277861,4.88659178635325e+22,6.828923899149704e+21,0.1397481966515146,0.985002554786555
2021-06-04,0.0092044446598127,1.6232610430514802,1.883208157903029,1.8842370423648611,3.254706580800167,2.5922101045761345,-0.5504178067953863,-0.0001696535919619,9.788834617056314e+22,-4.43925934352496e-05,-2.854227790394237e-05,0.1397481966515146,-1.971647553961625,-0.0225389505446005,4.894417308528157e+22,6.814364222096182e+21,0.1392272826884348,0.9813309397192272
2021-06-05,0.0128766915082535,1.6364029496773476,1.8806982912486685,1.8840022234844784,3.2345262522796974,2.53369739748769,-0.2731005732340015,-0.0001412927596633,9.84741031186555e+22,-0.0002140461853972,-4.43925934352496e-05,0.1392272826884348,-1.9941865045062253,-0.0119405034023276,4.923705155932775e+22,6.702361426677882e+21,0.1361243456790244,0.9594601681826712
2021-06-06,-0.0541150286397345,1.6345017782816238,1.8786079966555471,1.8814888434549877,3.1143177482534115,2.502699007536639,-0.9230516266701484,-0.0006586710893146,9.83893647023615e+22,-0.0003553389450605,-0.0002140461853972,0.1361243456790244,-2.006127007908553,-0.0367801853667115,4.919468235118076e+22,6.617108734252258e+21,0.1345086179643446,0.9480718571709178
2021-06-07,0.0710936208425727,1.6753992037196133,1.8688635722425757,1.8793956228143716,3.051724079446585,2.4072150492768056,0.4304141568348433,0.0003083176935371,1.0021223194616302e+23,-0.0010140100343751,-0.0003553389450605,0.1345086179643446,-2.0429071932752647,0.0149462630084391,5.010611597308151e+22,6.496320129576541e+21,0.1296512412390247,0.9138350755977585
2021-06-08,-0.0187824833435311,1.660104426597215,1.873424844945436,1.8696375579084583,2.8635481713079427,2.446016603401923,-0.4402438234205683,-0.0003857971695631,9.953051792824914e+22,-0.000705692340838,-0.0010140100343751,0.1296512412390247,-2.0279609302668256,-0.0183283462332273,4.976525896412457e+22,6.549287068096438e+21,0.1316035966539986,0.9275960765815215
2021-06-09,-0.0702345291859277,1.680022154246675,1.867717335661162,1.87420521559677,2.939182875799164,2.3984349224164543,-0.7213510278908297,-0.00078316229881,1.0041828464985394e+23,-0.0010914895104011,-0.000705692340838,0.1316035966539986,-2.046289276500053,-0.0290716376242063,5.020914232492697e+22,6.48769854097738e+21,0.1292134906227322,0.9107496298765324
2021-06-10,-0.1416864306533652,1.7125952482452893,1.8561311799187197,1.8684897167959476,2.846589610253845,2.322962898396503,-0.9522645144700028,-0.001334986693675,1.0187012239864746e+23,-0.0018746518092112,-0.0010914895104011,0.1292134906227322,-2.0753609141242597,-0.0378966368877504,5.093506119932373e+22,6.392916608017835e+21,0.1255111205815673,0.884653808701776
2021-06-11,-0.1109076709540525,1.7576205513323535,1.836381296950005,1.8568873424582415,2.7031589306588595,2.224580553155442,-0.6278979041492845,-0.0010972817467533,1.038769761128034e+23,-0.0032096385028862,-0.0018746518092112,0.1255111205815673,-2.1132575510120097,-0.0255000673343426,5.19384880564017e+22,6.2764375183595e+21,0.1208436701419515,0.8517557054165816
