date,z_il_t_plus1,z_tvl_t,z_il_t,z_il_t_lag1,z_price_implicit_lag1,z_log_price,z_delta_log_price_t_to_tplus1,il_t_plus1,tvl_t,il_t,il_t_lag1,price_implicit_lag1,log_price,delta_log_price_t_to_tplus1,reserve0,reserve1,price_implicit,pt_ratio
2023-01-06,0.0349603477372668,-0.442133169147349,0.6597870847648336,0.6715493019741526,-0.9841685545845952,-1.068276845331486,0.0959892003362802,2.2429291008041478e-05,485.1158966,-0.0002364738911376,-0.0001732943013097,13.432250351765507,2.5913960158374536,0.002114687309882,242.5579483,3237.758860523812,13.348393170440632,0.9574335004892024
2023-01-07,-0.0557849232057493,-0.4425585184988647,0.6642700549129649,0.658923005819829,-1.0228032270138,-1.0526603354459665,-0.2643324242420711,-5.438916552347184e-05,484.62347372,-0.0002140446001296,-0.0002364738911376,13.348393170440632,2.593510703147336,-0.0049616638869993,242.31173686,3241.319468240194,13.376650715491031,0.9594603152471576
2023-01-08,-0.3933787008902907,-0.4441111499366528,0.653399225097788,0.6634054481967155,-1.0097844136047698,-1.0893011535838844,-1.205682571846446,-0.0003401719139451,482.82600714,-0.0002684337656531,-0.0002140446001296,13.376650715491031,2.5885490392603363,-0.0234488258814531,241.41300357,3213.3144224472308,13.310444652644817,0.9547115861907772
2023-01-09,0.0138918417825435,-0.4391791067768554,0.5854086437235371,0.6525358981829188,-1.0402868644441492,-1.2624656774689604,0.0017570435575834,4.594200627594525e-06,488.53578638,-0.0006086056795983,-0.0002684337656531,13.310444652644817,2.565100213378883,0.0002640633397388,244.26789319,3175.961687947224,13.001961274856743,0.9325851537080716
2023-01-10,-0.1232587364176186,-0.4392319792353514,0.5863268922879098,0.5845533212058808,-1.1824112962745503,-1.260515626633471,-0.3248388976973842,-0.0001115076702495,488.47457644,-0.0006040114789707,-0.0006086056795983,13.001961274856743,2.565364276718622,-0.0061499496479653,244.23728822,3176.402424010258,13.005395069523829,0.932831447775536
2023-01-11,0.4625084585527894,-0.4379244873175852,0.5640397162537967,0.5854714616666589,-1.1808292787292922,-1.3059316789377968,1.2206853715742938,0.0003843609445752,489.98824734,-0.0007155191492203,-0.0006040114789707,13.005395069523829,2.5592143270706567,0.0242025792225071,244.99412367,3166.7102510248246,12.925657985537203,0.9271121859538832
2023-01-12,0.3259509978170211,-0.442967616165759,0.6408624138602769,0.5631869094578774,-1.2175657403132851,-1.1272008491280543,1.47185449470361,0.0002687611645253,484.14986526,-0.000331158204645,-0.0007155191492203,12.925657985537203,2.583416906293164,0.0291352860151001,242.07493263,3205.630979602168,13.24230867184345,0.9498244308774038
2023-01-13,-0.0557150190964593,-0.4489964987143401,0.6945800403832081,0.6400005628794988,-1.0716784668962405,-0.9120430430798274,-0.4300942658454011,-5.432998970389402e-05,477.17028554,-6.239704011967717e-05,-0.000331158204645,13.24230867184345,2.612552192308264,-0.0082170583074692,238.58514277,3252.822733255105,13.63380257248826,0.9779049174894234
2023-01-14,-0.029631635363825,-0.4472648242336465,0.6837210381123154,0.6937118653320761,-0.89130943504378,-0.9727242471939432,-0.2135781958573736,-3.224966244674832e-05,479.17502854,-0.0001167270298235,-6.239704011967717e-05,13.63380257248826,2.6043351340007947,-0.0039649023265542,239.58751427,3239.7579142087984,13.52223184117097,0.9699023396155708
2023-01-15,-0.0299174522944424,-0.4464686520063906,0.6772752581728493,0.6828541414701299,-0.9427122915317748,-1.0020041960962736,-0.1939730067972444,-3.249161461937877e-05,480.09674952,-0.0001489766922703,-0.0001167270298235,13.52223184117097,2.6003702316742405,-0.0035798763008942,240.04837476,3233.14522470748,13.468723660137144,0.9660643851578408
2023-01-16,0.0460170572354397,-0.4457181909277689,0.670781118953244,0.6764091203796386,-0.9673645754967652,-1.0284408108055048,0.1664548173744119,3.178911052414968e-05,480.96555114,-0.0001814683068896,-0.0001489766922703,13.468723660137144,2.5967903553733462,0.0034985605482709,240.48277557,3227.4215739358497,13.420593496919317,0.9626121770860252
2023-01-17,0.1207686434945496,-0.4464381066389692,0.6771348478100463,0.6699157457022512,-0.9895390996163032,-1.0026046953988217,0.6860977097080627,9.506845742601744e-05,480.1321116,-0.0001496791963655,-0.0001814683068896,13.420593496919317,2.600288915921617,0.0137038198285575,240.0660558,3233.1204514370406,13.467628485263932,0.965985832099123
2023-01-18,-0.0441764935572574,-0.4523977294295968,0.6961362980349742,0.6762687265470712,-0.9678691443579014,-0.9014049403229836,-0.381664700659334,-4.456229918559096e-05,473.23271324,-5.461073893953117e-05,-0.0001496791963655,13.467628485263932,2.6139927357501747,-0.0072659507741095,236.61635662,3230.63120573716,13.653456810365286,0.9793146471497484
2023-01-19,0.0592074585721775,-0.4509218661472258,0.6872295761546672,0.6952679397686945,-0.8822543364794391,-0.955062420349148,0.3427388526353077,4.2955160955093774e-05,474.94130606,-9.917303812512213e-05,-5.461073893953117e-05,13.653456810365286,2.606726784976065,0.0069606001784743,237.47065303,3218.822326814909,13.55461100453651,0.9722247836227365
2023-01-20,0.0748746368510855,-0.4524414111410786,0.6958150773281468,0.6863622664592093,-0.92779456653321,-0.9036598886422944,1.0684574084635885,5.621787361309583e-05,473.18214334,-5.621787717002835e-05,-9.917303812512213e-05,13.55461100453651,2.6136873851545395,0.0212129764468818,236.59107167,3229.299759595664,13.64928835564822,0.979015658489433
2023-01-21,0.0071823184311356,-0.4955786126092289,0.7070514132920688,0.6949467568785481,-0.8841748265315189,-0.7470066308126541,-0.1620194867437437,-1.085601995298724e-06,423.24261738,-3.5569325262940765e-12,-5.621787717002835e-05,13.64928835564822,2.6349003616014213,-0.0029523415806571,211.62130869,2950.408042349586,13.94192324304913,1.000005334252802
2023-01-22,-0.0019960195902309,-0.4950315937556293,0.7068344326779276,0.706181770010771,-0.7493521096518408,-0.7688090369009254,0.5924595369288715,-8.85532655503507e-06,423.87589588,-1.0856055522312502e-06,-3.5569325262940765e-12,13.94192324304913,2.631948020020764,0.0118648611016278,211.93794794,2946.111821763289,13.900822624730417,0.9970573308214752
2023-01-23,-0.1958420329217306,-0.5018983565719984,0.7050645076016537,0.7059648149413301,-0.7682879825287204,-0.6811895955688535,1.4820781009392852,-0.0001729514981149,415.92631018,-9.94093210726632e-06,-1.0856055522312502e-06,13.900822624730417,2.643812881122392,0.0293360672707545,207.96315509,2925.3628584486737,14.06673627923498,1.0089577362847355
2023-01-24,0.1139866907459859,-0.5070934436925869,0.6704964776605483,0.704195098234849,-0.6918482597519348,-0.4645490632333398,-0.5663889577466029,8.932734125544073e-05,409.91200746,-0.0001828924302221,-9.94093210726632e-06,14.06673627923498,2.6731489483931465,-0.0108937477992316,204.95600373,2968.8925650663914,14.485511578267694,1.0389950220727502
2023-01-25,0.0021804542889865,-0.5065324117493298,0.6883504438923165,0.6696311379198141,-0.4989101446859106,-0.5449970421860988,0.0273721232731148,-5.3198224586603615e-06,410.56150878,-9.356508896674054e-05,-0.0001828924302221,14.485511578267694,2.662255200593915,0.0007671175214447,205.28075439,2941.378936474929,14.32856648064917,1.0277378997900266
2023-01-26,-0.0481248378282975,-0.5066597951277173,0.6872871643946729,0.6874830022393078,-0.5712178748058899,-0.5393320446703831,0.3011130186010316,-4.790468507087642e-05,410.41403826,-9.88849114254009e-05,-9.356508896674054e-05,14.32856648064917,2.66302231811536,0.0061431110232388,205.20701913,2942.5788541099746,14.3395623920926,1.0285265980138445
2023-01-27,-0.16445900741069,-0.5077400985071696,0.6777123957115534,0.686419847919465,-0.5661518395544595,-0.4939664941353474,0.7095704900506034,-0.0001463848731437,409.16338136,-0.0001467895964962,-9.88849114254009e-05,14.3395623920926,2.6691654291385984,0.0141648014237238,204.58169068,2951.688889067734,14.427923042657172,1.0348643980692762
2023-01-28,0.154185171987071,-0.5102277358826465,0.6484542699773844,0.6768462064550015,-0.5254423292148716,-0.3893624893605977,-0.6010352784028651,0.0001233565005908,406.28346734,-0.00029317446964,-0.0001467895964962,14.427923042657172,2.6833302305623223,-0.0115741663917332,203.14173367,2972.724529825264,14.633745986703056,1.0496273571222976
2023-01-29,-0.0755509640627769,-0.5082600065038577,0.6731096863937247,0.6475915252223406,-0.4306156024397315,-0.4748352129299424,0.3471316489881142,-7.11216821008831e-05,408.56148884,-0.0001698179690492,-0.00029317446964,14.633745986703056,2.671756064170589,0.0070468702427959,204.28074442,2954.99225855762,14.465348983074849,1.0375488297222597
2023-01-30,0.0093632859564346,-0.5094940410476136,0.658894507785144,0.672244039005074,-0.5081994535833845,-0.4227955953967319,-0.0152214758805372,7.606491349010369e-07,407.13285884,-0.0002409396511501,-0.0001698179690492,14.465348983074849,2.678802934413385,-6.937755903546616e-05,203.56642942,2965.4833613539704,14.56764442842174,1.0448861238124172
2023-01-31,0.1115976046707738,-0.5094846238670125,0.6590465396689758,0.658030533921469,-0.4610699059461276,-0.4233079337133462,-0.4630863234084196,8.730491184494316e-05,407.14376102,-0.0002401790020152,-0.0002409396511501,14.56764442842174,2.6787335568543496,-0.008864988850902,203.57188051,2965.357034525453,14.566633795868416,1.044813634678266
2023-02-01,0.1311720934741583,-0.5269453989548684,0.6764962804318823,0.6581825479068866,-0.4615355244778633,-0.4887739652056585,-0.784355304362893,0.000103875274153,386.92958854,-0.0001528740901702,-0.0002401790020152,14.566633795868416,2.6698685680034475,-0.0151743857419668,193.46479427,2793.2585214794344,14.438071443536932,1.035592307328062
2023-02-02,0.0506677029117336,-0.5243815266580552,0.6972579600137262,0.6756302343461866,-0.5207667589479575,-0.6008335325179192,-0.4951462293282746,3.572601455248403e-05,389.897759,-4.899881601727607e-05,-0.0001528740901702,14.438071443536932,2.6546941822614807,-0.0094946128816366,194.9488795,2772.297145873897,14.22063647138786,1.019996458160653
2023-02-03,0.0238199605356882,-0.5263367892845584,0.704398562750258,0.6963894696963912,-0.6209433781821271,-0.6709492017387882,-0.4609765098626699,1.299863593262618e-05,387.63417014,-1.327280146479204e-05,-4.899881601727607e-05,14.22063647138786,2.645199569379844,-0.0088235542530559,193.81708507,2730.1570751443146,14.08625598800166,1.0103578166430518
